region,trips,time
region_1383,73.0,2016-05-31 23:00:00
region_1384,151.0,2016-05-31 23:00:00
region_1385,94.0,2016-05-31 23:00:00
region_1386,33.0,2016-05-31 23:00:00
region_1426,1.0,2016-05-31 23:00:00
region_1388,12.0,2016-05-31 23:00:00
region_1389,6.0,2016-05-31 23:00:00
region_1390,6.0,2016-05-31 23:00:00
region_1382,3.0,2016-05-31 23:00:00
region_1387,17.0,2016-05-31 23:00:00
region_1380,2.0,2016-05-31 23:00:00
region_1336,16.0,2016-05-31 23:00:00
region_1376,2.0,2016-05-31 23:00:00
region_1339,4.0,2016-05-31 23:00:00
region_1338,14.0,2016-05-31 23:00:00
region_1337,30.0,2016-05-31 23:00:00
region_1335,17.0,2016-05-31 23:00:00
region_1334,124.0,2016-05-31 23:00:00
region_1333,144.0,2016-05-31 23:00:00
region_1332,100.0,2016-05-31 23:00:00
region_1331,8.0,2016-05-31 23:00:00
region_1431,13.0,2016-05-31 23:00:00
region_1378,3.0,2016-05-31 23:00:00
region_1434,3.0,2016-05-31 23:00:00
region_1532,8.0,2016-05-31 23:00:00
region_1436,27.0,2016-05-31 23:00:00
region_2168,59.0,2016-05-31 23:00:00
region_2119,4.0,2016-05-31 23:00:00
region_2118,78.0,2016-05-31 23:00:00
region_2069,0.0,2016-05-31 23:00:00
region_2068,13.0,2016-05-31 23:00:00
region_1783,3.0,2016-05-31 23:00:00
region_1734,9.0,2016-05-31 23:00:00
region_1733,0.0,2016-05-31 23:00:00
region_1684,0.0,2016-05-31 23:00:00
region_1630,5.0,2016-05-31 23:00:00
region_1435,1.0,2016-05-31 23:00:00
region_1580,8.0,2016-05-31 23:00:00
region_1327,2.0,2016-05-31 23:00:00
region_1530,12.0,2016-05-31 23:00:00
region_1483,13.0,2016-05-31 23:00:00
region_1482,10.0,2016-05-31 23:00:00
region_1480,7.0,2016-05-31 23:00:00
region_1442,1.0,2016-05-31 23:00:00
region_1441,1.0,2016-05-31 23:00:00
region_1439,3.0,2016-05-31 23:00:00
region_1438,7.0,2016-05-31 23:00:00
region_1437,26.0,2016-05-31 23:00:00
region_1533,7.0,2016-05-31 23:00:00
region_1326,3.0,2016-05-31 23:00:00
region_1377,2.0,2016-05-31 23:00:00
region_1286,59.0,2016-05-31 23:00:00
region_1183,14.0,2016-05-31 23:00:00
region_1182,178.0,2016-05-31 23:00:00
region_1181,320.0,2016-05-31 23:00:00
region_1180,109.0,2016-05-31 23:00:00
region_1179,100.0,2016-05-31 23:00:00
region_1178,55.0,2016-05-31 23:00:00
region_1177,29.0,2016-05-31 23:00:00
region_1176,0.0,2016-05-31 23:00:00
region_1175,5.0,2016-05-31 23:00:00
region_1174,20.0,2016-05-31 23:00:00
region_1173,17.0,2016-05-31 23:00:00
region_1172,5.0,2016-05-31 23:00:00
region_1132,1.0,2016-05-31 23:00:00
region_1131,18.0,2016-05-31 23:00:00
region_1130,50.0,2016-05-31 23:00:00
region_1129,76.0,2016-05-31 23:00:00
region_1128,59.0,2016-05-31 23:00:00
region_1127,51.0,2016-05-31 23:00:00
region_1126,43.0,2016-05-31 23:00:00
region_1125,8.0,2016-05-31 23:00:00
region_1077,17.0,2016-05-31 23:00:00
region_1076,31.0,2016-05-31 23:00:00
region_1287,25.0,2016-05-31 23:00:00
region_1184,8.0,2016-05-31 23:00:00
region_1221,0.0,2016-05-31 23:00:00
region_1075,7.0,2016-05-31 23:00:00
region_1223,8.0,2016-05-31 23:00:00
region_1222,3.0,2016-05-31 23:00:00
region_1284,18.0,2016-05-31 23:00:00
region_1283,26.0,2016-05-31 23:00:00
region_1282,112.0,2016-05-31 23:00:00
region_1281,129.0,2016-05-31 23:00:00
region_1280,41.0,2016-05-31 23:00:00
region_1279,7.0,2016-05-31 23:00:00
region_1278,6.0,2016-05-31 23:00:00
region_1274,2.0,2016-05-31 23:00:00
region_1273,0.0,2016-05-31 23:00:00
region_1272,2.0,2016-05-31 23:00:00
region_1285,60.0,2016-05-31 23:00:00
region_1235,47.0,2016-05-31 23:00:00
region_1234,75.0,2016-05-31 23:00:00
region_1233,75.0,2016-05-31 23:00:00
region_1232,109.0,2016-05-31 23:00:00
region_1231,137.0,2016-05-31 23:00:00
region_1230,137.0,2016-05-31 23:00:00
region_1229,125.0,2016-05-31 23:00:00
region_1228,91.0,2016-05-31 23:00:00
region_1227,31.0,2016-05-31 23:00:00
region_1225,2.0,2016-05-31 23:00:00
region_1224,8.0,2016-05-31 23:00:00
region_1383,250.0,2016-06-01 00:00:00
region_1384,463.0,2016-06-01 00:00:00
region_1385,292.0,2016-06-01 00:00:00
region_1390,10.0,2016-06-01 00:00:00
region_1387,34.0,2016-06-01 00:00:00
region_1388,12.0,2016-06-01 00:00:00
region_1389,16.0,2016-06-01 00:00:00
region_1382,7.0,2016-06-01 00:00:00
region_1386,60.0,2016-06-01 00:00:00
region_1380,4.0,2016-06-01 00:00:00
region_1338,12.0,2016-06-01 00:00:00
